SrcEntity	TgtEntity	Relation	Score
http://snomed.info/id/280308004	http://purl.org/sig/ont/fma/fma6221	=	1.0000
http://snomed.info/id/280352007	http://purl.org/sig/ont/fma/fma78711	=	1.0000
http://snomed.info/id/86793008	http://purl.org/sig/ont/fma/fma70717	=	1.0000
http://snomed.info/id/73153001	http://purl.org/sig/ont/fma/fma67343	=	1.0000
http://snomed.info/id/15931004	http://purl.org/sig/ont/fma/fma52586	=	1.0000
http://snomed.info/id/279688006	http://purl.org/sig/ont/fma/fma0326084	=	1.0000
http://snomed.info/id/305050008	http://purl.org/sig/ont/fma/fma33315	=	1.0000
http://snomed.info/id/245277008	http://purl.org/sig/ont/fma/fma233426	=	1.0000
http://snomed.info/id/58613001	http://purl.org/sig/ont/fma/fma264832	=	1.0000
http://snomed.info/id/304949000	http://purl.org/sig/ont/fma/fma321712	=	1.0000
http://snomed.info/id/304944005	http://purl.org/sig/ont/fma/fma0326800	=	1.0000
http://snomed.info/id/41621006	http://purl.org/sig/ont/fma/fma84374	=	1.0000
http://snomed.info/id/117293008	http://purl.org/sig/ont/fma/fma0326140	=	1.0000
http://snomed.info/id/110588006	http://purl.org/sig/ont/fma/fma0323815	=	1.0000
http://snomed.info/id/36660006	http://purl.org/sig/ont/fma/fma0326106	=	1.0000
http://snomed.info/id/88545005	http://purl.org/sig/ont/fma/fma5914	=	1.0000
http://snomed.info/id/72725001	http://purl.org/sig/ont/fma/fma0327035	=	1.0000
http://snomed.info/id/279766000	http://purl.org/sig/ont/fma/fma60210	=	1.0000
http://snomed.info/id/279466004	http://purl.org/sig/ont/fma/fma19711	=	1.0000
http://snomed.info/id/51962006	http://purl.org/sig/ont/fma/fma0326469	=	1.0000
http://snomed.info/id/280329008	http://purl.org/sig/ont/fma/fma0329233	=	1.0000
http://snomed.info/id/35286002	http://purl.org/sig/ont/fma/fma0327519	=	1.0000
http://snomed.info/id/14609003	http://purl.org/sig/ont/fma/fma0326765	=	1.0000
http://snomed.info/id/361618004	http://purl.org/sig/ont/fma/fma12290	=	1.0000
http://snomed.info/id/110601005	http://purl.org/sig/ont/fma/fma0323813	=	1.0000
http://snomed.info/id/314908006	http://purl.org/sig/ont/fma/fma85537	=	1.0000
http://snomed.info/id/52541003	http://purl.org/sig/ont/fma/fma82761	=	1.0000
http://snomed.info/id/89094007	http://purl.org/sig/ont/fma/fma63260	=	1.0000
http://snomed.info/id/304945006	http://purl.org/sig/ont/fma/fma321710	=	1.0000
http://snomed.info/id/280602009	http://purl.org/sig/ont/fma/fma0326942	=	1.0000
http://snomed.info/id/245293004	http://purl.org/sig/ont/fma/fma323954	=	1.0000
http://snomed.info/id/27933003	http://purl.org/sig/ont/fma/fma0326976	=	1.0000
http://snomed.info/id/110521002	http://purl.org/sig/ont/fma/fma322610	=	1.0000
http://snomed.info/id/279196000	http://purl.org/sig/ont/fma/fma256196	=	1.0000
http://snomed.info/id/77826001	http://purl.org/sig/ont/fma/fma0325974	=	1.0000
http://snomed.info/id/60302007	http://purl.org/sig/ont/fma/fma0326900	=	1.0000
http://snomed.info/id/245300008	http://purl.org/sig/ont/fma/fma71825	=	1.0000
http://snomed.info/id/280262003	http://purl.org/sig/ont/fma/fma53195	=	1.0000
http://snomed.info/id/24851008	http://purl.org/sig/ont/fma/fma74412	=	1.0000
http://snomed.info/id/90928005	http://purl.org/sig/ont/fma/fma224852	=	1.0000
http://snomed.info/id/245253002	http://purl.org/sig/ont/fma/fma323419	=	1.0000
http://snomed.info/id/361631009	http://purl.org/sig/ont/fma/fma4735	=	1.0000
http://snomed.info/id/279530003	http://purl.org/sig/ont/fma/fma0327291	=	1.0000
http://snomed.info/id/85214009	http://purl.org/sig/ont/fma/fma82762	=	1.0000
http://snomed.info/id/278362005	http://purl.org/sig/ont/fma/fma0326266	=	1.0000
http://snomed.info/id/128510008	http://purl.org/sig/ont/fma/fma46930	=	1.0000
http://snomed.info/id/399384005	http://purl.org/sig/ont/fma/fma45721	=	1.0000
http://snomed.info/id/82384006	http://purl.org/sig/ont/fma/fma10143	=	1.0000
http://snomed.info/id/314302003	http://purl.org/sig/ont/fma/fma50081	=	1.0000
http://snomed.info/id/259713004	http://purl.org/sig/ont/fma/fma0326979	=	1.0000
http://snomed.info/id/314477009	http://purl.org/sig/ont/fma/fma0326213	=	1.0000
http://snomed.info/id/276961000	http://purl.org/sig/ont/fma/fma0327241	=	1.0000
http://snomed.info/id/243951005	http://purl.org/sig/ont/fma/fma0327099	=	1.0000
http://snomed.info/id/360964001	http://purl.org/sig/ont/fma/fma0326300	=	1.0000
http://snomed.info/id/361436006	http://purl.org/sig/ont/fma/fma0327048	=	1.0000
http://snomed.info/id/397435008	http://purl.org/sig/ont/fma/fma0327609	=	1.0000
http://snomed.info/id/127894007	http://purl.org/sig/ont/fma/fma0323559	=	1.0000
http://snomed.info/id/304955005	http://purl.org/sig/ont/fma/fma321714	=	1.0000
http://snomed.info/id/35284004	http://purl.org/sig/ont/fma/fma84185	=	1.0000
http://snomed.info/id/280228003	http://purl.org/sig/ont/fma/fma52691	=	1.0000
http://snomed.info/id/16779009	http://purl.org/sig/ont/fma/fma83506	=	1.0000
http://snomed.info/id/80036001	http://purl.org/sig/ont/fma/fma0326462	=	1.0000
http://snomed.info/id/5086000	http://purl.org/sig/ont/fma/fma67709	=	1.0000
http://snomed.info/id/8668003	http://purl.org/sig/ont/fma/fma0325971	=	1.0000
http://snomed.info/id/361641007	http://purl.org/sig/ont/fma/fma4942	=	1.0000
http://snomed.info/id/304962001	http://purl.org/sig/ont/fma/fma321706	=	1.0000
http://snomed.info/id/55109005	http://purl.org/sig/ont/fma/fma0326457	=	1.0000
http://snomed.info/id/818983003	http://purl.org/sig/ont/fma/fma9577	=	1.0000
http://snomed.info/id/1516009	http://purl.org/sig/ont/fma/fma323417	=	1.0000
http://snomed.info/id/280299003	http://purl.org/sig/ont/fma/fma14468	=	1.0000
http://snomed.info/id/45202000	http://purl.org/sig/ont/fma/fma0325985	=	1.0000
http://snomed.info/id/26859008	http://purl.org/sig/ont/fma/fma83689	=	1.0000
http://snomed.info/id/182321004	http://purl.org/sig/ont/fma/fma0323761	=	1.0000
http://snomed.info/id/288322003	http://purl.org/sig/ont/fma/fma0327057	=	1.0000
http://snomed.info/id/768009002	http://purl.org/sig/ont/fma/fma83352	=	1.0000
http://snomed.info/id/279648001	http://purl.org/sig/ont/fma/fma0327307	=	1.0000
http://snomed.info/id/110327002	http://purl.org/sig/ont/fma/fma322587	=	1.0000
http://snomed.info/id/280284003	http://purl.org/sig/ont/fma/fma53396	=	1.0000
http://snomed.info/id/81367002	http://purl.org/sig/ont/fma/fma84183	=	1.0000
http://snomed.info/id/245702002	http://purl.org/sig/ont/fma/fma0327187	=	1.0000
http://snomed.info/id/48184006	http://purl.org/sig/ont/fma/fma67896	=	1.0000
http://snomed.info/id/58348001	http://purl.org/sig/ont/fma/fma84718	=	1.0000
http://snomed.info/id/280120004	http://purl.org/sig/ont/fma/fma322379	=	1.0000
http://snomed.info/id/279736007	http://purl.org/sig/ont/fma/fma56451	=	1.0000
http://snomed.info/id/280318009	http://purl.org/sig/ont/fma/fma54407	=	1.0000
http://snomed.info/id/280923001	http://purl.org/sig/ont/fma/fma0326935	=	1.0000
http://snomed.info/id/11554009	http://purl.org/sig/ont/fma/fma23864	=	1.0000
http://snomed.info/id/245295006	http://purl.org/sig/ont/fma/fma71819	=	1.0000
http://snomed.info/id/20221000	http://purl.org/sig/ont/fma/fma67123	=	1.0000
http://snomed.info/id/105580009	http://purl.org/sig/ont/fma/fma16204	=	1.0000
http://snomed.info/id/667009	http://purl.org/sig/ont/fma/fma69067	=	1.0000
http://snomed.info/id/278789003	http://purl.org/sig/ont/fma/fma16428	=	1.0000
http://snomed.info/id/127942009	http://purl.org/sig/ont/fma/fma0326395	=	1.0000
http://snomed.info/id/49612007	http://purl.org/sig/ont/fma/fma0326467	=	1.0000
http://snomed.info/id/116194001	http://purl.org/sig/ont/fma/fma63832	=	1.0000
http://snomed.info/id/314570009	http://purl.org/sig/ont/fma/fma0327502	=	1.0000
http://snomed.info/id/14502000	http://purl.org/sig/ont/fma/fma32434	=	1.0000
http://snomed.info/id/789210002	http://purl.org/sig/ont/fma/fma84964	=	1.0000
http://snomed.info/id/277717006	http://purl.org/sig/ont/fma/fma0327244	=	1.0000
http://snomed.info/id/430865005	http://purl.org/sig/ont/fma/fma12276	=	1.0000
http://snomed.info/id/75799006	http://purl.org/sig/ont/fma/fma82758	=	1.0000
http://snomed.info/id/404798000	http://purl.org/sig/ont/fma/fma86713	=	1.0000
http://snomed.info/id/16628008	http://purl.org/sig/ont/fma/fma83357	=	1.0000
http://snomed.info/id/27888000	http://purl.org/sig/ont/fma/fma67095	=	1.0000
http://snomed.info/id/63472006	http://purl.org/sig/ont/fma/fma0326891	=	1.0000
http://snomed.info/id/20672004	http://purl.org/sig/ont/fma/fma82775	=	1.0000
http://snomed.info/id/279964007	http://purl.org/sig/ont/fma/fma0327328	=	1.0000
http://snomed.info/id/360888000	http://purl.org/sig/ont/fma/fma0327537	=	1.0000
http://snomed.info/id/110709003	http://purl.org/sig/ont/fma/fma323406	=	1.0000
http://snomed.info/id/416502004	http://purl.org/sig/ont/fma/fma264785	=	1.0000
http://snomed.info/id/245376001	http://purl.org/sig/ont/fma/fma15833	=	1.0000
http://snomed.info/id/281870007	http://purl.org/sig/ont/fma/fma306231	=	1.0000
http://snomed.info/id/12176006	http://purl.org/sig/ont/fma/fma0327003	=	1.0000
http://snomed.info/id/279512005	http://purl.org/sig/ont/fma/fma0327284	=	1.0000
http://snomed.info/id/122448007	http://purl.org/sig/ont/fma/fma14068	=	1.0000
http://snomed.info/id/1471007	http://purl.org/sig/ont/fma/fma67303	=	1.0000
http://snomed.info/id/74889000	http://purl.org/sig/ont/fma/fma62873	=	1.0000
http://snomed.info/id/54991005	http://purl.org/sig/ont/fma/fma83601	=	1.0000
http://snomed.info/id/419423006	http://purl.org/sig/ont/fma/fma0326452	=	1.0000
http://snomed.info/id/245312007	http://purl.org/sig/ont/fma/fma71844	=	1.0000
http://snomed.info/id/110501003	http://purl.org/sig/ont/fma/fma322606	=	1.0000
http://snomed.info/id/314398008	http://purl.org/sig/ont/fma/fma324006	=	1.0000
http://snomed.info/id/68031002	http://purl.org/sig/ont/fma/fma12825	=	1.0000
http://snomed.info/id/245341003	http://purl.org/sig/ont/fma/fma5950	=	1.0000
http://snomed.info/id/76015000	http://purl.org/sig/ont/fma/fma14769	=	1.0000
http://snomed.info/id/264100003	http://purl.org/sig/ont/fma/fma0327215	=	1.0000
http://snomed.info/id/361402000	http://purl.org/sig/ont/fma/fma0327539	=	1.0000
http://snomed.info/id/34136006	http://purl.org/sig/ont/fma/fma0327516	=	1.0000
http://snomed.info/id/245246006	http://purl.org/sig/ont/fma/fma0323699	=	1.0000
http://snomed.info/id/304912006	http://purl.org/sig/ont/fma/fma32855	=	1.0000
http://snomed.info/id/91723000	http://purl.org/sig/ont/fma/fma305751	=	1.0000
http://snomed.info/id/361527005	http://purl.org/sig/ont/fma/fma71008	=	1.0000
http://snomed.info/id/56213003	http://purl.org/sig/ont/fma/fma38304	=	1.0000
http://snomed.info/id/91645009	http://purl.org/sig/ont/fma/fma82777	=	1.0000
http://snomed.info/id/280885005	http://purl.org/sig/ont/fma/fma0327453	=	1.0000
http://snomed.info/id/277712000	http://purl.org/sig/ont/fma/fma321651	=	1.0000
http://snomed.info/id/38326003	http://purl.org/sig/ont/fma/fma72294	=	1.0000
http://snomed.info/id/18847002	http://purl.org/sig/ont/fma/fma83123	=	1.0000
http://snomed.info/id/360487004	http://purl.org/sig/ont/fma/fma322898	=	1.0000
http://snomed.info/id/42049001	http://purl.org/sig/ont/fma/fma14354	=	1.0000
http://snomed.info/id/280337000	http://purl.org/sig/ont/fma/fma0327368	=	1.0000
http://snomed.info/id/16675008	http://purl.org/sig/ont/fma/fma55074	=	1.0000
http://snomed.info/id/43130005	http://purl.org/sig/ont/fma/fma0326960	=	1.0000
http://snomed.info/id/314324003	http://purl.org/sig/ont/fma/fma69796	=	1.0000
http://snomed.info/id/57184004	http://purl.org/sig/ont/fma/fma62870	=	1.0000
http://snomed.info/id/244401003	http://purl.org/sig/ont/fma/fma323485	=	1.0000
http://snomed.info/id/3336003	http://purl.org/sig/ont/fma/fma224787	=	1.0000
http://snomed.info/id/245462003	http://purl.org/sig/ont/fma/fma0323689	=	1.0000
http://snomed.info/id/263331008	http://purl.org/sig/ont/fma/fma10177	=	1.0000
http://snomed.info/id/28904002	http://purl.org/sig/ont/fma/fma63034	=	1.0000
http://snomed.info/id/2436009	http://purl.org/sig/ont/fma/fma14353	=	1.0000
http://snomed.info/id/736678006	http://purl.org/sig/ont/fma/fma85813	=	1.0000
http://snomed.info/id/33238007	http://purl.org/sig/ont/fma/fma0326759	=	1.0000
http://snomed.info/id/361632002	http://purl.org/sig/ont/fma/fma4739	=	1.0000
http://snomed.info/id/426072009	http://purl.org/sig/ont/fma/fma241667	=	1.0000
http://snomed.info/id/64482002	http://purl.org/sig/ont/fma/fma12234	=	1.0000
http://snomed.info/id/280590000	http://purl.org/sig/ont/fma/fma58354	=	1.0000
http://snomed.info/id/255536004	http://purl.org/sig/ont/fma/fma23862	=	1.0000
http://snomed.info/id/45047005	http://purl.org/sig/ont/fma/fma86582	=	1.0000
http://snomed.info/id/263298001	http://purl.org/sig/ont/fma/fma0326007	=	1.0000
http://snomed.info/id/67146008	http://purl.org/sig/ont/fma/fma261269	=	1.0000
http://snomed.info/id/70180009	http://purl.org/sig/ont/fma/fma16556	=	1.0000
http://snomed.info/id/245088008	http://purl.org/sig/ont/fma/fma48444	=	1.0000
http://snomed.info/id/359541001	http://purl.org/sig/ont/fma/fma295874	=	1.0000
http://snomed.info/id/314304002	http://purl.org/sig/ont/fma/fma50031	=	1.0000
http://snomed.info/id/418124002	http://purl.org/sig/ont/fma/fma0326143	=	1.0000
http://snomed.info/id/5330007	http://purl.org/sig/ont/fma/fma67119	=	1.0000
http://snomed.info/id/113261001	http://purl.org/sig/ont/fma/fma14274	=	1.0000
http://snomed.info/id/281145005	http://purl.org/sig/ont/fma/fma25735	=	1.0000
http://snomed.info/id/81971007	http://purl.org/sig/ont/fma/fma0326769	=	1.0000
http://snomed.info/id/264054003	http://purl.org/sig/ont/fma/fma0327209	=	1.0000
http://snomed.info/id/279816002	http://purl.org/sig/ont/fma/fma71769	=	1.0000
http://snomed.info/id/244028001	http://purl.org/sig/ont/fma/fma0323736	=	1.0000
http://snomed.info/id/245526002	http://purl.org/sig/ont/fma/fma67722	=	1.0000
http://snomed.info/id/46015007	http://purl.org/sig/ont/fma/fma74643	=	1.0000
http://snomed.info/id/57649002	http://purl.org/sig/ont/fma/fma67790	=	1.0000
http://snomed.info/id/16312006	http://purl.org/sig/ont/fma/fma0326001	=	1.0000
http://snomed.info/id/90984005	http://purl.org/sig/ont/fma/fma0326757	=	1.0000
http://snomed.info/id/24826007	http://purl.org/sig/ont/fma/fma63880	=	1.0000
http://snomed.info/id/45709008	http://purl.org/sig/ont/fma/fma66772	=	1.0000
http://snomed.info/id/280646001	http://purl.org/sig/ont/fma/fma0327424	=	1.0000
http://snomed.info/id/182403001	http://purl.org/sig/ont/fma/fma0323753	=	1.0000
http://snomed.info/id/277925004	http://purl.org/sig/ont/fma/fma7169	=	1.0000
http://snomed.info/id/127871006	http://purl.org/sig/ont/fma/fma17399	=	1.0000
http://snomed.info/id/18716004	http://purl.org/sig/ont/fma/fma83731	=	1.0000
http://snomed.info/id/464005	http://purl.org/sig/ont/fma/fma0326455	=	1.0000
http://snomed.info/id/361404004	http://purl.org/sig/ont/fma/fma0327541	=	1.0000
http://snomed.info/id/279768004	http://purl.org/sig/ont/fma/fma56958	=	1.0000
http://snomed.info/id/50762005	http://purl.org/sig/ont/fma/fma86583	=	1.0000
http://snomed.info/id/360891000	http://purl.org/sig/ont/fma/fma302259	=	1.0000
http://snomed.info/id/59059009	http://purl.org/sig/ont/fma/fma54660	=	1.0000
http://snomed.info/id/16378004	http://purl.org/sig/ont/fma/fma62851	=	1.0000
http://snomed.info/id/279194002	http://purl.org/sig/ont/fma/fma62419	=	1.0000
http://snomed.info/id/182228007	http://purl.org/sig/ont/fma/fma44358	=	1.0000
http://snomed.info/id/30030008	http://purl.org/sig/ont/fma/fma264826	=	1.0000
http://snomed.info/id/91764005	http://purl.org/sig/ont/fma/fma14164	=	1.0000
http://snomed.info/id/12858002	http://purl.org/sig/ont/fma/fma323416	=	1.0000
http://snomed.info/id/38476002	http://purl.org/sig/ont/fma/fma86578	=	1.0000
http://snomed.info/id/19992001	http://purl.org/sig/ont/fma/fma0326444	=	1.0000
http://snomed.info/id/66012001	http://purl.org/sig/ont/fma/fma19575	=	1.0000
http://snomed.info/id/360537008	http://purl.org/sig/ont/fma/fma76269	=	1.0000
http://snomed.info/id/57987007	http://purl.org/sig/ont/fma/fma20116	=	1.0000
http://snomed.info/id/279560008	http://purl.org/sig/ont/fma/fma55238	=	1.0000
http://snomed.info/id/182407000	http://purl.org/sig/ont/fma/fma0323751	=	1.0000
http://snomed.info/id/110326006	http://purl.org/sig/ont/fma/fma322586	=	1.0000
http://snomed.info/id/361408001	http://purl.org/sig/ont/fma/fma0327544	=	1.0000
